Page #,Page Name,URL,Page Type,Parent Page,Template,Content Source,Tier / Priority,Primary CTA,Secondary CTA,Section #,Section Name,Section Purpose / Intent,Internal Links From This Section,Notes
2,Products — Index,/products,Static index,/,Tier index,CMS Product Tier collection,Tier 2,Request the trade pack,Check if your territory is open,2.7,Footer,"Standard 4-column footer: Explore | Products | Partner With Us | Contact & Legal. The visible partner email lives in column four and is one of nine sitewide surfaces carrying it, because the relationship-driven distributor archetype bypasses forms and looks for a person.",/ | /company | /plant | /find-boogies | /resources | /products/[tier] x6 | /partners/distributor | /partners/retailer | /partners/van-route | /partners/franchise | /partners/bulk-events | /contact | /privacy | /terms,"Locked template. partners@boogies.in [CONFIRM]. Both entity addresses shown (Icehome Foods, Kerala; Mountbell Foods, Tamil Nadu). Single phone number sitewide — current estate publishes two different numbers."
3,Product Tier Template,/products/[tier],Dynamic Template,/products,Tier Template,CMS Product Tier entry,Tier 2,Request the trade pack,Filter by band | Check if your territory is open,3.1,Sticky Header,"Persistent navigation carrying six slots plus the five-way partner dropdown, so the primary commercial journey is visible at nav level on every page without consuming its own slot.",/ | /products | /plant | /find-boogies | /partners (dropdown x5) | /company | /contact,Distributor listed first and visually weighted in the dropdown.
3,Product Tier Template,/products/[tier],Dynamic Template,/products,Tier Template,CMS Product Tier entry,Tier 2,Request the trade pack,Filter by band | Check if your territory is open,3.2,Breadcrumb,Orients depth and passes hierarchical equity upward.,/products,Schema: BreadcrumbList.
3,Product Tier Template,/products/[tier],Dynamic Template,/products,Tier Template,CMS Product Tier entry,Tier 2,Request the trade pack,Filter by band | Check if your territory is open,3.3,Tier hero,States what this format tier is for commercially — which channel it serves and which part of the cabinet it fills.,/products,—
3,Product Tier Template,/products/[tier],Dynamic Template,/products,Tier Template,CMS Product Tier entry,Tier 2,Request the trade pack,Filter by band | Check if your territory is open,3.4,SKU grid with band filter,"Lets a trade buyer filter by price band, which is the margin conversation rendered as an interface. Filter state lives in query strings, never in separate URLs.",/products/[tier]/[sku] x8-36,Query string ?band=. Canonical points to the clean tier URL.
3,Product Tier Template,/products/[tier],Dynamic Template,/products,Tier Template,CMS Product Tier entry,Tier 2,Request the trade pack,Filter by band | Check if your territory is open,3.5,Specification summary,"Publishes weights, case configurations, shelf life and storage temperature — the trade data absent from the current catalogue and the reason a buyer cannot evaluate it.",—,Matches the specification depth a competitor already publishes on its B2B site.
3,Product Tier Template,/products/[tier],Dynamic Template,/products,Tier Template,CMS Product Tier entry,Tier 2,Request the trade pack,Filter by band | Check if your territory is open,3.6,Sibling tiers,Lateral discovery across the catalogue so a buyer assembling a full cabinet sees the adjacent formats rather than dead-ending.,/products/[tier] x5,—
3,Product Tier Template,/products/[tier],Dynamic Template,/products,Tier Template,CMS Product Tier entry,Tier 2,Request the trade pack,Filter by band | Check if your territory is open,3.7,Trade CTA band,Converts catalogue browsing into a qualified conversation.,/partners/distributor | /resources/12-questions,—
3,Product Tier Template,/products/[tier],Dynamic Template,/products,Tier Template,CMS Product Tier entry,Tier 2,Request the trade pack,Filter by band | Check if your territory is open,3.8,Pinned WhatsApp + Call,Floating conversion path for the archetype who will not complete a form. Pre-filled with page context so the sales conversation opens already qualified rather than at zero.,wa.me deep link | tel: link,WhatsApp Business API. Page context injected into the pre-filled message.
3,Product Tier Template,/products/[tier],Dynamic Template,/products,Tier Template,CMS Product Tier entry,Tier 2,Request the trade pack,Filter by band | Check if your territory is open,3.9,Footer,"Standard 4-column footer: Explore | Products | Partner With Us | Contact & Legal. The visible partner email lives in column four and is one of nine sitewide surfaces carrying it, because the relationship-driven distributor archetype bypasses forms and looks for a person.",/ | /company | /plant | /find-boogies | /resources | /products/[tier] x6 | /partners/distributor | /partners/retailer | /partners/van-route | /partners/franchise | /partners/bulk-events | /contact | /privacy | /terms,"Locked template. partners@boogies.in [CONFIRM]. Both entity addresses shown (Icehome Foods, Kerala; Mountbell Foods, Tamil Nadu). Single phone number sitewide — current estate publishes two different numbers."
4,SKU Detail Template,/products/[tier]/[sku],Dynamic Template,/products/[tier],SKU Template,CMS Product entry — bulk and premium lines only,Tier 3,Request the trade pack,Enquire about this line,4.1,Sticky Header,"Persistent navigation carrying six slots plus the five-way partner dropdown, so the primary commercial journey is visible at nav level on every page without consuming its own slot.",/ | /products | /plant | /find-boogies | /partners (dropdown x5) | /company | /contact,Distributor listed first and visually weighted in the dropdown.
4,SKU Detail Template,/products/[tier]/[sku],Dynamic Template,/products/[tier],SKU Template,CMS Product entry — bulk and premium lines only,Tier 3,Request the trade pack,Enquire about this line,4.2,Breadcrumb,Hierarchical path back to tier and catalogue.,/products | /products/[tier],Schema: BreadcrumbList.
4,SKU Detail Template,/products/[tier]/[sku],Dynamic Template,/products/[tier],SKU Template,CMS Product entry — bulk and premium lines only,Tier 3,Request the trade pack,Enquire about this line,4.3,Product hero,Real packshot with the flavour name spelled correctly — the current site publishes several misspelled product and category labels that read as carelessness to a buyer performing due diligence.,—,Real product photography only. Correct spelling audit required before launch.
4,SKU Detail Template,/products/[tier]/[sku],Dynamic Template,/products/[tier],SKU Template,CMS Product entry — bulk and premium lines only,Tier 3,Request the trade pack,Enquire about this line,4.4,Specification table,"The reason this page exists. Weight, pack size, case configuration, shelf life, storage temperature, MOQ — a trade buyer cannot evaluate a line without them.",—,Schema: Product. Omit any field not verified rather than estimating.
4,SKU Detail Template,/products/[tier]/[sku],Dynamic Template,/products/[tier],SKU Template,CMS Product entry — bulk and premium lines only,Tier 3,Request the trade pack,Enquire about this line,4.5,Band and margin context,Places this SKU on the price ladder so the buyer sees where it sits in the absolute-rupee argument rather than judging it as a standalone flavour.,/partners/distributor/economics,—
4,SKU Detail Template,/products/[tier]/[sku],Dynamic Template,/products/[tier],SKU Template,CMS Product entry — bulk and premium lines only,Tier 3,Request the trade pack,Enquire about this line,4.6,Related lines in the same band,"Lateral discovery weighted by price band before format, because band is the margin argument and format is only logistics.",/products/[tier]/[sku] x4,Editorial override field available per SKU.
4,SKU Detail Template,/products/[tier]/[sku],Dynamic Template,/products/[tier],SKU Template,CMS Product entry — bulk and premium lines only,Tier 3,Request the trade pack,Enquire about this line,4.7,Exclusivity flag (conditional),"Where the SKU belongs to the exclusive line, states plainly that it is not available to general retail — protecting the partner-margin argument from being undercut by confusion.",/boogie-woogie | /partners/franchise,Renders only when the CMS exclusivity flag is set.
4,SKU Detail Template,/products/[tier]/[sku],Dynamic Template,/products/[tier],SKU Template,CMS Product entry — bulk and premium lines only,Tier 3,Request the trade pack,Enquire about this line,4.8,Pinned WhatsApp + Call,Floating conversion path for the archetype who will not complete a form. Pre-filled with page context so the sales conversation opens already qualified rather than at zero.,wa.me deep link | tel: link,WhatsApp Business API. Page context injected into the pre-filled message.
4,SKU Detail Template,/products/[tier]/[sku],Dynamic Template,/products/[tier],SKU Template,CMS Product entry — bulk and premium lines only,Tier 3,Request the trade pack,Enquire about this line,4.9,Footer,"Standard 4-column footer: Explore | Products | Partner With Us | Contact & Legal. The visible partner email lives in column four and is one of nine sitewide surfaces carrying it, because the relationship-driven distributor archetype bypasses forms and looks for a person.",/ | /company | /plant | /find-boogies | /resources | /products/[tier] x6 | /partners/distributor | /partners/retailer | /partners/van-route | /partners/franchise | /partners/bulk-events | /contact | /privacy | /terms,"Locked template. partners@boogies.in [CONFIRM]. Both entity addresses shown (Icehome Foods, Kerala; Mountbell Foods, Tamil Nadu). Single phone number sitewide — current estate publishes two different numbers."
5,Boogie Woogie,/boogie-woogie,Static,/,Custom build,Manual + CMS Product relations,Tier 2,Enquire about a Boogie Woogie franchise,Find a Tasty Point,5.1,Sticky Header,"Persistent navigation carrying six slots plus the five-way partner dropdown, so the primary commercial journey is visible at nav level on every page without consuming its own slot.",/ | /products | /plant | /find-boogies | /partners (dropdown x5) | /company | /contact,Distributor listed first and visually weighted in the dropdown.
5,Boogie Woogie,/boogie-woogie,Static,/,Custom build,Manual + CMS Product relations,Tier 2,Enquire about a Boogie Woogie franchise,Find a Tasty Point,5.2,Range hero,"Presents the natural pops and scoops line as a distinct sub-brand with its own identity, which is how it already behaves on the current site.",—,Real product photography.
5,Boogie Woogie,/boogie-woogie,Static,/,Custom build,Manual + CMS Product relations,Tier 2,Enquire about a Boogie Woogie franchise,Find a Tasty Point,5.3,"The exclusivity rule, stated as a benefit",Reframes a restriction already published on the current site as partner margin protection — the shop two streets away cannot stock this.,/partners/franchise | /partners/distributor/economics,Currently published as a product footnote and never framed as a commercial benefit.
5,Boogie Woogie,/boogie-woogie,Static,/,Custom build,Manual + CMS Product relations,Tier 2,Enquire about a Boogie Woogie franchise,Find a Tasty Point,5.4,Sticks and scoops grid,Shows the full range in both formats so a prospective franchisee understands what an outlet actually sells.,/products/boogie-woogie | /products/[tier]/[sku],—
5,Boogie Woogie,/boogie-woogie,Static,/,Custom build,Manual + CMS Product relations,Tier 2,Enquire about a Boogie Woogie franchise,Find a Tasty Point,5.5,Franchise route,Provides the commercial destination that the exclusivity claim implies but which does not exist anywhere on the current site.,/partners/franchise,A stated expansion vehicle currently supported by nothing.
5,Boogie Woogie,/boogie-woogie,Static,/,Custom build,Manual + CMS Product relations,Tier 2,Enquire about a Boogie Woogie franchise,Find a Tasty Point,5.6,Where to find it,"Directs consumers to outlets, since this line is not available through general retail.",/find-boogies,—
5,Boogie Woogie,/boogie-woogie,Static,/,Custom build,Manual + CMS Product relations,Tier 2,Enquire about a Boogie Woogie franchise,Find a Tasty Point,5.7,Pinned WhatsApp + Call,Floating conversion path for the archetype who will not complete a form. Pre-filled with page context so the sales conversation opens already qualified rather than at zero.,wa.me deep link | tel: link,WhatsApp Business API. Page context injected into the pre-filled message.
5,Boogie Woogie,/boogie-woogie,Static,/,Custom build,Manual + CMS Product relations,Tier 2,Enquire about a Boogie Woogie franchise,Find a Tasty Point,5.8,Footer,"Standard 4-column footer: Explore | Products | Partner With Us | Contact & Legal. The visible partner email lives in column four and is one of nine sitewide surfaces carrying it, because the relationship-driven distributor archetype bypasses forms and looks for a person.",/ | /company | /plant | /find-boogies | /resources | /products/[tier] x6 | /partners/distributor | /partners/retailer | /partners/van-route | /partners/franchise | /partners/bulk-events | /contact | /privacy | /terms,"Locked template. partners@boogies.in [CONFIRM]. Both entity addresses shown (Icehome Foods, Kerala; Mountbell Foods, Tamil Nadu). Single phone number sitewide — current estate publishes two different numbers."
6,The Plant,/plant,Static,/,Custom build,Manual + filmed production,Tier 1,Book a plant visit,Check if your territory is open | See our credentials,6.1,Sticky Header,"Persistent navigation carrying six slots plus the five-way partner dropdown, so the primary commercial journey is visible at nav level on every page without consuming its own slot.",/ | /products | /plant | /find-boogies | /partners (dropdown x5) | /company | /contact,Distributor listed first and visually weighted in the dropdown.
6,The Plant,/plant,Static,/,Custom build,Manual + filmed production,Tier 1,Book a plant visit,Check if your territory is open | See our credentials,6.2,Documentary hero,Opens with filmed production rather than a claim. A competitor publishes a process page built entirely on adjectives; this section exists to be the opposite of that.,/plant/visit,"Real filmed footage. No stock, no AI-generated imagery."
6,The Plant,/plant,Static,/,Custom build,Manual + filmed production,Tier 1,Book a plant visit,Check if your territory is open | See our credentials,6.3,Named process steps,"Walks the actual production sequence with named stages, so the quality claim becomes checkable rather than asserted.",/plant/credentials,Requires filmed and photographed plant access.
6,The Plant,/plant,Static,/,Custom build,Manual + filmed production,Tier 1,Book a plant visit,Check if your territory is open | See our credentials,6.4,Cold chain and hygiene,"Addresses the regulatory and reputational risk a distributor is underwriting, which is the belief that carries the most weight and currently has no published answer.",/plant/credentials | /partners/distributor/support,—
6,The Plant,/plant,Static,/,Custom build,Manual + filmed production,Tier 1,Book a plant visit,Check if your territory is open | See our credentials,6.5,The people,"Puts named humans behind the operation, answering the solidity belief that a company will still exist in five years.",/company,"Real photography of actual staff, with permission."
6,The Plant,/plant,Static,/,Custom build,Manual + filmed production,Tier 1,Book a plant visit,Check if your territory is open | See our credentials,6.6,Visitor testimony,"Surfaces third-party accounts of plant tours — evidence Boogies did not write about itself, which is why it outperforms any claim the company could make.",external: Google Business Profile | /partners/distributor/evidence,Curated quotes with attribution plus verified rating. No live API scrape.
6,The Plant,/plant,Static,/,Custom build,Manual + filmed production,Tier 1,Book a plant visit,Check if your territory is open | See our credentials,6.7,Book a visit CTA,Turns the strongest asset into a funnel stage rather than an accident that happens to some prospects and not others.,/plant/visit,Plant visit is bookable from three surfaces sitewide.
6,The Plant,/plant,Static,/,Custom build,Manual + filmed production,Tier 1,Book a plant visit,Check if your territory is open | See our credentials,6.8,Pinned WhatsApp + Call,Floating conversion path for the archetype who will not complete a form. Pre-filled with page context so the sales conversation opens already qualified rather than at zero.,wa.me deep link | tel: link,WhatsApp Business API. Page context injected into the pre-filled message.
6,The Plant,/plant,Static,/,Custom build,Manual + filmed production,Tier 1,Book a plant visit,Check if your territory is open | See our credentials,6.9,Footer,"Standard 4-column footer: Explore | Products | Partner With Us | Contact & Legal. The visible partner email lives in column four and is one of nine sitewide surfaces carrying it, because the relationship-driven distributor archetype bypasses forms and looks for a person.",/ | /company | /plant | /find-boogies | /resources | /products/[tier] x6 | /partners/distributor | /partners/retailer | /partners/van-route | /partners/franchise | /partners/bulk-events | /contact | /privacy | /terms,"Locked template. partners@boogies.in [CONFIRM]. Both entity addresses shown (Icehome Foods, Kerala; Mountbell Foods, Tamil Nadu). Single phone number sitewide — current estate publishes two different numbers."
7,Credentials,/plant/credentials,Static,/plant,Custom build,Client-supplied licences and certifications,Tier 2,Check if your territory is open,Book a plant visit | Download the partner pack,7.1,Sticky Header,"Persistent navigation carrying six slots plus the five-way partner dropdown, so the primary commercial journey is visible at nav level on every page without consuming its own slot.",/ | /products | /plant | /find-boogies | /partners (dropdown x5) | /company | /contact,Distributor listed first and visually weighted in the dropdown.
7,Credentials,/plant/credentials,Static,/plant,Custom build,Client-supplied licences and certifications,Tier 2,Check if your territory is open,Book a plant visit | Download the partner pack,7.2,Breadcrumb,Hierarchical path back to the plant section.,/plant,—
7,Credentials,/plant/credentials,Static,/plant,Custom build,Client-supplied licences and certifications,Tier 2,Check if your territory is open,Book a plant visit | Download the partner pack,7.3,Licence and certification register,"Publishes the regulatory documentation a serious prospect checks before committing capital. Almost nobody in the category publishes any, which makes this a cheap category-leading asset.",—,"FSSAI licence number and any ISO/HACCP certification. Client-supplied. If a credential is not held, it is OMITTED — never implied."
7,Credentials,/plant/credentials,Static,/plant,Custom build,Client-supplied licences and certifications,Tier 2,Check if your territory is open,Book a plant visit | Download the partner pack,7.4,Entity transparency,"Names both legal entities and which one a partner in each state actually contracts with, removing an ambiguity a due-diligence-minded prospect will otherwise raise on a call.",/company,Icehome Foods (Kerala); Mountbell Foods (Tamil Nadu).
7,Credentials,/plant/credentials,Static,/plant,Custom build,Client-supplied licences and certifications,Tier 2,Check if your territory is open,Book a plant visit | Download the partner pack,7.5,Testing and traceability,Describes batch and quality processes so the quality claim has a mechanism behind it.,/plant,Client-supplied detail. Omit sections that cannot be substantiated.
7,Credentials,/plant/credentials,Static,/plant,Custom build,Client-supplied licences and certifications,Tier 2,Check if your territory is open,Book a plant visit | Download the partner pack,7.6,Download CTA,Makes the credential set forwardable to the family or business partner who is not on the site but is in the decision.,/resources/12-questions,—
7,Credentials,/plant/credentials,Static,/plant,Custom build,Client-supplied licences and certifications,Tier 2,Check if your territory is open,Book a plant visit | Download the partner pack,7.7,Pinned WhatsApp + Call,Floating conversion path for the archetype who will not complete a form. Pre-filled with page context so the sales conversation opens already qualified rather than at zero.,wa.me deep link | tel: link,WhatsApp Business API. Page context injected into the pre-filled message.
7,Credentials,/plant/credentials,Static,/plant,Custom build,Client-supplied licences and certifications,Tier 2,Check if your territory is open,Book a plant visit | Download the partner pack,7.8,Footer,"Standard 4-column footer: Explore | Products | Partner With Us | Contact & Legal. The visible partner email lives in column four and is one of nine sitewide surfaces carrying it, because the relationship-driven distributor archetype bypasses forms and looks for a person.",/ | /company | /plant | /find-boogies | /resources | /products/[tier] x6 | /partners/distributor | /partners/retailer | /partners/van-route | /partners/franchise | /partners/bulk-events | /contact | /privacy | /terms,"Locked template. partners@boogies.in [CONFIRM]. Both entity addresses shown (Icehome Foods, Kerala; Mountbell Foods, Tamil Nadu). Single phone number sitewide — current estate publishes two different numbers."
8,Book a Plant Visit,/plant/visit,Static,/plant,Form page,Manual + form,Tier 2,Pick a day this month,WhatsApp us instead,8.1,Sticky Header,"Persistent navigation carrying six slots plus the five-way partner dropdown, so the primary commercial journey is visible at nav level on every page without consuming its own slot.",/ | /products | /plant | /find-boogies | /partners (dropdown x5) | /company | /contact,Distributor listed first and visually weighted in the dropdown.
8,Book a Plant Visit,/plant/visit,Static,/plant,Form page,Manual + form,Tier 2,Pick a day this month,WhatsApp us instead,8.2,Breadcrumb,Hierarchical path back to the plant.,/plant,—
8,Book a Plant Visit,/plant/visit,Static,/plant,Form page,Manual + form,Tier 2,Pick a day this month,WhatsApp us instead,8.3,The invitation,"Frames the visit as an open standing offer rather than a privilege to be requested, matching the behaviour visitors already describe publicly.",/plant,—
8,Book a Plant Visit,/plant/visit,Static,/plant,Form page,Manual + form,Tier 2,Pick a day this month,WhatsApp us instead,8.4,What you will see,Sets expectations for the visit so a prospect can justify the travel to himself and to whoever is funding the decision with him.,/plant | /plant/credentials,—
8,Book a Plant Visit,/plant/visit,Static,/plant,Form page,Manual + form,Tier 2,Pick a day this month,WhatsApp us instead,8.5,Visit request form,"Short intake — name, phone, WhatsApp, town, preferred window. Deliberately shorter than the distributor form because this is a mid-funnel commitment, not a first contact.",—,Writes to CRM with source = plant_visit. Turnstile protected.
8,Book a Plant Visit,/plant/visit,Static,/plant,Form page,Manual + form,Tier 2,Pick a day this month,WhatsApp us instead,8.6,Getting here,"Practical logistics with a map, because a prospect travelling from another district needs to plan around a working day.",/contact,Schema: LocalBusiness. Single verified address and phone.
8,Book a Plant Visit,/plant/visit,Static,/plant,Form page,Manual + form,Tier 2,Pick a day this month,WhatsApp us instead,8.7,Pinned WhatsApp + Call,Floating conversion path for the archetype who will not complete a form. Pre-filled with page context so the sales conversation opens already qualified rather than at zero.,wa.me deep link | tel: link,WhatsApp Business API. Page context injected into the pre-filled message.
8,Book a Plant Visit,/plant/visit,Static,/plant,Form page,Manual + form,Tier 2,Pick a day this month,WhatsApp us instead,8.8,Footer,"Standard 4-column footer: Explore | Products | Partner With Us | Contact & Legal. The visible partner email lives in column four and is one of nine sitewide surfaces carrying it, because the relationship-driven distributor archetype bypasses forms and looks for a person.",/ | /company | /plant | /find-boogies | /resources | /products/[tier] x6 | /partners/distributor | /partners/retailer | /partners/van-route | /partners/franchise | /partners/bulk-events | /contact | /privacy | /terms,"Locked template. partners@boogies.in [CONFIRM]. Both entity addresses shown (Icehome Foods, Kerala; Mountbell Foods, Tamil Nadu). Single phone number sitewide — current estate publishes two different numbers."
9,Find Boogies — Locator Index,/find-boogies,Static index,/,Locator,CMS Outlet collection,Tier 2,Find your nearest Tasty Point,No Tasty Point near you? Become one,9.1,Sticky Header,"Persistent navigation carrying six slots plus the five-way partner dropdown, so the primary commercial journey is visible at nav level on every page without consuming its own slot.",/ | /products | /plant | /find-boogies | /partners (dropdown x5) | /company | /contact,Distributor listed first and visually weighted in the dropdown.
9,Find Boogies — Locator Index,/find-boogies,Static index,/,Locator,CMS Outlet collection,Tier 2,Find your nearest Tasty Point,No Tasty Point near you? Become one,9.2,Search and map,Consumer discovery for a question the current site cannot answer — seventeen towns are published as unstructured text with no addresses and no locator.,/find-boogies/[district],Client-side filter over statically generated district pages.
9,Find Boogies — Locator Index,/find-boogies,Static index,/,Locator,CMS Outlet collection,Tier 2,Find your nearest Tasty Point,No Tasty Point near you? Become one,9.3,District index,Provides crawlable text links to every district so the locator layer is indexable rather than trapped behind a map widget.,/find-boogies/[district] x17+,—
9,Find Boogies — Locator Index,/find-boogies,Static index,/,Locator,CMS Outlet collection,Tier 2,Find your nearest Tasty Point,No Tasty Point near you? Become one,9.4,Zero-result state,"Converts a failed search instead of dead-ending it, and logs the searched town as a market-gap signal the sales team can act on.",/partners/retailer | /partners/distributor,Every zero-result search records a town with no coverage. Fires locator_no_result event.
9,Find Boogies — Locator Index,/find-boogies,Static index,/,Locator,CMS Outlet collection,Tier 2,Find your nearest Tasty Point,No Tasty Point near you? Become one,9.5,Coverage summary,States the footprint as evidence of reach for the trade audience reading the same page.,/partners/distributor/evidence,Real outlet counts only. Block omitted entirely if outlet data is incomplete.
9,Find Boogies — Locator Index,/find-boogies,Static index,/,Locator,CMS Outlet collection,Tier 2,Find your nearest Tasty Point,No Tasty Point near you? Become one,9.6,Pinned WhatsApp + Call,Floating conversion path for the archetype who will not complete a form. Pre-filled with page context so the sales conversation opens already qualified rather than at zero.,wa.me deep link | tel: link,WhatsApp Business API. Page context injected into the pre-filled message.
